,M
1076,0.002032144115657004
1077,0.0009721757721882216
1078,-8.938259757061172e-05
1079,-0.001148338363004834
1080,-0.0022005180625519973
1081,-0.0032417838190757988
1082,-0.004268049580133549
1083,-0.005275297119525675
1084,-0.006259591737591549
1085,-0.007217097599036236
1086,-0.008144092648625667
1087,-0.009036983046882111
1088,-0.009892317069918881
1089,-0.010706798419785562
1090,-0.011477298894127987
1091,-0.012200870366597817
1092,-0.012874756032264952
1093,-0.013496400875275136
1094,-0.014063461319149817
1095,-0.014573814023425613
1096,-0.015025563793770513
1097,-0.015417050576273274
1098,-0.015746855510271374
1099,-0.01601380601784333
1100,-0.01621697991193187
1101,-0.016355708508967174
1102,-0.01642957873580753
1103,-0.016438434224800028
1104,-0.01638237539475839
1105,-0.016261758519655847
1106,-0.016077193790813224
1107,-0.0158295423823132
1108,-0.015519912533279426
1109,-0.0151496546644996
1110,-0.014720355550641101
1111,-0.014233831572982055
1112,-0.013692121081149145
1113,-0.01309747589580476
1114,-0.01245235198754404
1115,-0.011759399370429684
1116,-0.011021451251611787
1117,-0.010241512481318564
1118,-0.009422747350171836
1119,-0.008568466783251684
1120,-0.007682114982610888
1121,-0.006767255572003891
1122,-0.0058275572994458385
1123,-0.004866779354842511
1124,-0.003888756361332889
1125,-0.0028973831001481466
1126,-0.0018965990297187267
1127,-0.0008903726604467789
1128,0.0001173141529964212
1129,0.001122481939789803
1130,0.0021211692994888304
1131,0.003109448485237255
1132,0.004083440822477591
1133,0.005039331902745549
1134,0.005973386493144073
1135,0.006881963103332456
1136,0.007761528153333321
1137,0.008608669687149902
1138,0.009420110579084026
1139,0.01019272118175354
1140,0.010923531367110136
1141,0.011609741914246706
1142,0.01224873520045174
1143,0.012838085154799929
1144,0.013375566436555124
1145,0.013859162803791562
1146,0.014287074640899147
1147,0.014657725617013964
1148,0.014969768450894825
1149,0.015222089761336927
1150,0.015413813985855002
1151,0.015544306354075417
1152,0.015613174906025129
1153,0.015620271549290082
1154,0.015565692152808291
1155,0.015449775678868136
1156,0.015273102358660926
1157,0.01503649092049899
1158,0.014740994883519558
1159,0.014387897933351336
1160,0.013978708399804049
1161,0.013515152860137214
1162,0.012999168894860236
1163,0.01243289702630429
1164,0.011818671873358425
1165,0.011159012558790196
1166,0.010456612408435302
1167,0.009714327984258166
1168,0.008935167495820169
1169,0.008122278637055997
1170,0.007278935897425318
1171,0.006408527398483021
1172,0.0055145413086770895
1173,0.004600551890740895
1174,0.003670205237384474
1175,0.00272720475210884
1176,0.0017752964328572424
1177,0.0008182540168802792
1178,-0.00014013595437797574
1179,-0.0010960890913644082
1180,-0.0020458380745003134
1181,-0.0029856474755570054
